Description,Year,Quarter,Month,DateofWeek,Hour,UnitPrice,Country,Discount,PaymentMethod,ShippingCost,Category,ShipmentProvider,WarehouseLocation,Actual_Quantity,Predicted_Quantity
T-shirt,2024,Q3,Aug,Sun,19,10.6,United Kingdom,0.33,Bank Transfer,20.13,Accessories,DHL,Paris,21,23.22
Wall Clock,2024,Q1,Feb,Sat,22,95.25,Portugal,0.07,Credit Card,12.91,Furniture,FedEx,Rome,46,25.73
Desk Lamp,2023,Q4,Dec,Fri,10,4.65,Germany,0.44,Bank Transfer,23.31,Accessories,DHL,London,7,24.06
Office Chair,2023,Q3,Sep,Tue,7,59.77,United States,0.36,Bank Transfer,11.37,Furniture,FedEx,London,32,26.63
USB Cable,2022,Q1,Jan,Fri,10,61.51,Italy,0.29,Credit Card,5.09,Furniture,FedEx,Berlin,29,20.61
White Mug,2023,Q4,Oct,Sat,9,98.44,Spain,0.49,Credit Card,24.24,Apparel,FedEx,Paris,29,22.36
Desk Lamp,2024,Q1,Jan,Mon,3,-42.77,United States,1.723706482,paypall,,Apparel,DHL,,-28,-23.74
White Mug,2024,Q3,Jul,Fri,11,17.66,United Kingdom,0.03,Bank Transfer,28.75,Stationery,DHL,Paris,20,25.64
Desk Lamp,2023,Q2,Apr,Thu,14,68.8,Sweden,0.23,Bank Transfer,27.82,Furniture,FedEx,Rome,16,26.32
Office Chair,2023,Q4,Oct,Sun,22,26.17,Netherlands,0.25,Credit Card,27.07,Accessories,FedEx,Amsterdam,31,20.9
Notebook,2021,Q3,Aug,Sat,7,10.52,Germany,0.03,Bank Transfer,6.64,Accessories,FedEx,Paris,48,25.5
Wall Clock,2020,Q1,Jan,Wed,5,32.07,Belgium,0.01,Credit Card,9.79,Stationery,FedEx,Paris,21,25.51
White Mug,2022,Q4,Oct,Mon,13,6.63,Norway,0.08,paypall,15.16,Apparel,FedEx,Rome,21,27.31
T-shirt,2020,Q1,Feb,Tue,11,54.91,United States,0.31,paypall,11.36,Furniture,DHL,Paris,18,25.72
White Mug,2024,Q3,Aug,Tue,19,96.37,Spain,0.49,paypall,25.97,Stationery,Royal Mail,Rome,10,26.85
Blue Pen,2023,Q2,May,Fri,23,20.25,Germany,0.15,Bank Transfer,12.64,Apparel,Royal Mail,Amsterdam,19,21.94
Blue Pen,2022,Q4,Dec,Wed,21,23.92,Italy,0.08,paypall,13.99,Accessories,FedEx,,40,23.17
Office Chair,2022,Q2,Apr,Fri,19,78.38,Italy,0.37,Credit Card,10.53,Apparel,Royal Mail,Berlin,34,17.59
Wall Clock,2023,Q4,Dec,Mon,8,76.62,Germany,0.21,Credit Card,25.39,Furniture,FedEx,London,19,26.42
Blue Pen,2021,Q3,Aug,Tue,17,28.29,Australia,0.46,paypall,9.97,Accessories,UPS,Paris,49,27.41
USB Cable,2020,Q2,Jun,Mon,6,35.79,Belgium,0.15,Credit Card,,Electronics,DHL,,-7,-28.39
T-shirt,2021,Q4,Nov,Fri,11,7.5,Sweden,0.11,paypall,16.03,Furniture,DHL,Berlin,42,23.69
Office Chair,2022,Q4,Oct,Fri,10,9.1,Norway,0.26,Bank Transfer,20.89,Accessories,Royal Mail,London,23,22.58
Wireless Mouse,2023,Q4,Dec,Mon,6,2.59,Australia,0.43,paypall,23.04,Stationery,UPS,Berlin,26,20.97
Wireless Mouse,2024,Q4,Dec,Sun,11,41.34,Spain,0.18,Credit Card,27.87,Apparel,Royal Mail,Amsterdam,29,24.63
Wireless Mouse,2023,Q3,Jul,Sun,3,52.64,Portugal,0.09,Credit Card,10.97,Stationery,UPS,Paris,35,26.96
Office Chair,2020,Q4,Oct,Sat,2,58.35,Sweden,0.04,Credit Card,6.19,Accessories,UPS,Berlin,28,27.95
USB Cable,2024,Q1,Mar,Tue,7,84.89,United States,0.23,paypall,28.98,Stationery,UPS,Amsterdam,16,23.79
Desk Lamp,2020,Q2,May,Fri,8,57.81,Italy,0.03,paypall,18.28,Accessories,Royal Mail,Amsterdam,4,23.15
Blue Pen,2022,Q3,Aug,Thu,5,67.14,Portugal,0.48,Credit Card,13.37,Electronics,FedEx,Amsterdam,48,22.89
USB Cable,2021,Q4,Nov,Sun,6,8.47,Belgium,0.44,paypall,16.32,Accessories,DHL,Rome,23,23.28
Wireless Mouse,2021,Q4,Nov,Thu,22,85.28,United Kingdom,0.23,paypall,21.61,Electronics,Royal Mail,Amsterdam,43,26.19
Backpack,2021,Q2,Apr,Sun,13,45.16,Portugal,0.04,Bank Transfer,16.83,Apparel,Royal Mail,Paris,27,22.66
Backpack,2024,Q2,May,Fri,9,44.88,Sweden,0.39,paypall,27.6,Electronics,Royal Mail,Rome,36,25.4
Wireless Mouse,2021,Q3,Jul,Fri,13,83.13,Portugal,0.43,Credit Card,9.43,Electronics,Royal Mail,Amsterdam,10,23.96
Backpack,2024,Q1,Jan,Fri,23,63.67,Portugal,0.38,Bank Transfer,21.56,Electronics,DHL,London,34,24.0
USB Cable,2023,Q3,Jul,Sat,13,79.31,France,0.49,Credit Card,12.51,Stationery,FedEx,Paris,33,24.07
Desk Lamp,2022,Q4,Oct,Wed,23,28.96,Belgium,0.1,Bank Transfer,23.88,Electronics,FedEx,London,8,23.94
Office Chair,2021,Q4,Oct,Sat,22,98.94,France,0.12,Bank Transfer,22.99,Accessories,Royal Mail,Rome,13,23.2
Desk Lamp,2022,Q4,Oct,Mon,21,23.91,Portugal,0.17,paypall,24.94,Apparel,FedEx,Amsterdam,48,21.83
Wireless Mouse,2021,Q3,Sep,Thu,6,72.88,Netherlands,0.01,Bank Transfer,15.79,Accessories,FedEx,Paris,39,24.62
Backpack,2021,Q3,Aug,Mon,3,2.38,Spain,0.13,paypall,5.83,Furniture,FedEx,London,8,28.05
White Mug,2020,Q4,Oct,Tue,3,37.09,Spain,0.21,Credit Card,19.97,Stationery,UPS,Rome,41,24.56
Office Chair,2020,Q1,Mar,Tue,19,42.12,Spain,0.46,Bank Transfer,28.13,Electronics,FedEx,Rome,9,25.78
T-shirt,2022,Q4,Oct,Wed,14,36.79,France,0.45,paypall,,Apparel,UPS,,-43,-24.2
Office Chair,2021,Q4,Oct,Mon,18,26.56,United Kingdom,0.29,Bank Transfer,28.88,Furniture,DHL,London,32,22.47
Headphones,2020,Q4,Nov,Tue,20,94.58,Norway,0.1,Bank Transfer,6.51,Stationery,DHL,London,14,21.07
Office Chair,2022,Q3,Sep,Thu,8,89.51,Norway,0.39,paypall,21.34,Electronics,UPS,Rome,40,25.42
USB Cable,2020,Q4,Nov,Fri,16,65.86,Spain,0.18,Credit Card,,Apparel,Royal Mail,,-9,-16.5
Backpack,2024,Q4,Nov,Sat,13,11.7,Italy,0.08,Bank Transfer,8.04,Accessories,UPS,Rome,36,27.67
White Mug,2021,Q4,Dec,Fri,18,79.84,France,0.17,paypall,29.28,Furniture,UPS,Berlin,27,24.51
Blue Pen,2023,Q2,Apr,Tue,20,31.69,Belgium,0.49,Bank Transfer,5.1,Apparel,DHL,Berlin,24,18.82
Headphones,2022,Q3,Jul,Wed,1,9.75,Netherlands,0.02,paypall,14.09,Accessories,FedEx,Berlin,24,23.5
Notebook,2024,Q3,Aug,Mon,17,10.98,France,0.28,paypall,15.23,Electronics,Royal Mail,Rome,16,21.09
Blue Pen,2020,Q4,Nov,Sun,20,29.3,Netherlands,0.43,Bank Transfer,26.96,Accessories,UPS,Berlin,16,27.19
Wall Clock,2021,Q2,Jun,Wed,2,20.66,Norway,0.31,Bank Transfer,13.2,Accessories,FedEx,London,16,25.78
T-shirt,2022,Q3,Aug,Mon,19,54.16,United States,0.16,Bank Transfer,14.36,Apparel,DHL,London,41,25.59
Headphones,2022,Q3,Jul,Wed,14,71.65,United States,0.5,Bank Transfer,7.96,Apparel,FedEx,Paris,47,25.87
Wireless Mouse,2020,Q2,May,Tue,16,-46.1,United Kingdom,0.47,Credit Card,,Electronics,DHL,,-7,-22.68
USB Cable,2020,Q3,Jul,Thu,1,36.14,Germany,0.34,Credit Card,21.34,Apparel,Royal Mail,Rome,47,20.82
Wall Clock,2021,Q1,Mar,Wed,9,36.87,Australia,0.09,Bank Transfer,24.16,Stationery,UPS,Rome,46,26.61
Headphones,2022,Q4,Oct,Tue,17,21.33,United Kingdom,0.13,paypall,23.96,Accessories,FedEx,Amsterdam,32,26.36
Backpack,2022,Q4,Oct,Wed,22,88.14,Belgium,0.18,Credit Card,21.4,Electronics,DHL,Berlin,23,21.9
Desk Lamp,2020,Q2,Jun,Wed,7,15.58,Norway,0.44,Bank Transfer,6.35,Apparel,FedEx,London,2,27.42
Wall Clock,2024,Q4,Oct,Fri,10,82.74,Australia,0.48,Credit Card,22.7,Accessories,Royal Mail,London,11,22.68
USB Cable,2024,Q4,Nov,Mon,9,24.17,Portugal,0.29,Bank Transfer,14.96,Stationery,UPS,Berlin,47,24.12
Wireless Mouse,2023,Q3,Sep,Sat,18,70.2,Australia,0.41,Credit Card,9.07,Apparel,UPS,Berlin,38,26.57
Wireless Mouse,2024,Q3,Jul,Sat,0,84.85,Netherlands,0.02,paypall,22.09,Electronics,Royal Mail,Berlin,23,23.8
Headphones,2022,Q2,Jun,Tue,22,48.57,Italy,0.03,Credit Card,13.13,Stationery,UPS,Paris,11,24.91
Backpack,2020,Q1,Mar,Tue,22,-72.7,Italy,0.34,Bank Transfer,,Accessories,Royal Mail,,-15,-25.55
Wall Clock,2023,Q1,Feb,Mon,0,65.25,Belgium,0.09,paypall,28.83,Accessories,DHL,Paris,18,28.09
USB Cable,2022,Q2,Jun,Wed,21,64.81,Netherlands,0.28,Bank Transfer,17.27,Electronics,UPS,Paris,26,24.07
Office Chair,2023,Q3,Sep,Mon,2,44.29,Germany,0.3,Credit Card,29.38,Accessories,UPS,Rome,22,21.16
Desk Lamp,2022,Q3,Aug,Sat,19,61.23,Sweden,0.07,Credit Card,19.0,Accessories,UPS,Amsterdam,27,21.06
T-shirt,2023,Q4,Dec,Mon,5,11.39,Germany,0.22,paypall,20.28,Electronics,Royal Mail,,35,25.36
Desk Lamp,2023,Q1,Mar,Thu,23,90.09,Norway,0.09,Bank Transfer,21.95,Accessories,UPS,Rome,16,24.22
Notebook,2021,Q4,Dec,Tue,0,15.44,United States,0.2,Credit Card,22.34,Stationery,DHL,Amsterdam,23,25.37
USB Cable,2021,Q2,Jun,Thu,13,17.58,Sweden,0.2,paypall,17.6,Stationery,UPS,Amsterdam,22,23.99
Backpack,2021,Q2,Apr,Wed,21,99.66,Spain,0.48,Bank Transfer,11.8,Furniture,FedEx,London,22,24.57
Wireless Mouse,2024,Q4,Oct,Wed,11,93.66,France,0.15,Bank Transfer,9.52,Apparel,UPS,Berlin,22,29.65
Wall Clock,2022,Q1,Jan,Fri,16,13.94,Sweden,0.09,Credit Card,22.63,Stationery,DHL,Amsterdam,42,22.34
White Mug,2022,Q1,Feb,Tue,23,37.62,Germany,0.2,paypall,15.46,Apparel,UPS,Rome,48,25.01
Wall Clock,2022,Q1,Mar,Mon,15,7.44,Germany,0.39,paypall,7.32,Accessories,Royal Mail,Rome,23,25.44
Wall Clock,2024,Q3,Sep,Tue,20,25.17,Spain,0.45,Bank Transfer,25.45,Furniture,UPS,Berlin,25,28.51
USB Cable,2021,Q2,Jun,Sun,16,23.66,Italy,0.49,paypall,25.76,Furniture,Royal Mail,,46,25.46
Blue Pen,2022,Q4,Dec,Sat,23,47.17,Italy,0.44,Bank Transfer,12.26,Stationery,FedEx,Amsterdam,13,26.43
Wireless Mouse,2022,Q1,Jan,Thu,9,75.3,Australia,0.34,Bank Transfer,20.12,Electronics,DHL,Berlin,8,26.59
Notebook,2020,Q3,Aug,Fri,2,53.49,United Kingdom,0.49,paypall,30.0,Electronics,FedEx,London,19,26.67
T-shirt,2020,Q4,Nov,Sun,7,8.41,Germany,0.14,Bank Transfer,25.98,Accessories,Royal Mail,,47,23.81
Blue Pen,2022,Q4,Nov,Mon,18,99.53,Germany,0.47,paypall,13.1,Electronics,FedEx,Berlin,17,24.03
White Mug,2023,Q1,Feb,Thu,0,71.88,Sweden,0.17,Bank Transfer,23.54,Accessories,UPS,Berlin,6,22.84
USB Cable,2024,Q2,May,Fri,18,61.26,Italy,0.2,Bank Transfer,14.49,Apparel,DHL,Rome,21,24.18
Headphones,2024,Q2,Apr,Mon,1,69.14,Germany,0.27,Credit Card,8.22,Stationery,DHL,Paris,20,25.04
Blue Pen,2020,Q2,Apr,Tue,8,-17.41,Spain,1.102272427,Bank Transfer,,Accessories,FedEx,,-40,-24.07
Backpack,2023,Q1,Jan,Mon,21,50.26,Belgium,0.25,Bank Transfer,15.4,Stationery,FedEx,Paris,4,24.75
Desk Lamp,2024,Q2,May,Wed,7,92.48,Norway,0.02,paypall,25.86,Stationery,Royal Mail,Amsterdam,29,26.02
Wireless Mouse,2020,Q2,Jun,Sun,0,70.98,Norway,0.04,Bank Transfer,,Accessories,UPS,,-45,-29.68
Wall Clock,2021,Q3,Aug,Mon,18,47.39,United Kingdom,0.37,Credit Card,10.46,Furniture,DHL,Rome,48,22.86
Headphones,2021,Q4,Dec,Sun,22,24.08,Belgium,0.37,Credit Card,5.55,Furniture,UPS,Rome,11,27.09
Desk Lamp,2022,Q2,Apr,Sat,22,8.24,United States,0.24,paypall,25.77,Accessories,Royal Mail,Paris,27,24.61
Notebook,2023,Q2,May,Tue,4,67.23,United States,0.07,Bank Transfer,23.35,Electronics,UPS,London,13,25.61
T-shirt,2023,Q1,Feb,Sat,18,9.54,United Kingdom,0.35,paypall,6.44,Accessories,Royal Mail,Amsterdam,18,23.55
Headphones,2024,Q2,Jun,Thu,6,3.13,Germany,0.09,paypall,27.13,Furniture,FedEx,Rome,21,23.71
Wall Clock,2023,Q2,Apr,Sun,20,93.3,Sweden,0.43,Bank Transfer,16.19,Accessories,FedEx,London,22,26.9
White Mug,2024,Q4,Dec,Mon,15,4.66,France,0.47,Credit Card,10.45,Stationery,UPS,London,37,23.57
T-shirt,2024,Q3,Aug,Fri,4,53.17,Australia,0.22,Bank Transfer,5.43,Furniture,UPS,London,3,23.35
Office Chair,2023,Q2,Jun,Mon,20,35.01,Italy,0.09,Credit Card,11.97,Accessories,FedEx,Paris,15,22.46
White Mug,2024,Q2,May,Sat,6,18.1,Netherlands,0.27,paypall,21.15,Furniture,FedEx,Paris,29,25.5
Office Chair,2022,Q2,Jun,Tue,21,83.63,Italy,0.02,Bank Transfer,5.49,Stationery,FedEx,Berlin,19,23.62
Wireless Mouse,2024,Q4,Oct,Sat,4,7.15,France,0.45,Credit Card,23.43,Furniture,Royal Mail,Berlin,31,27.22
Blue Pen,2021,Q2,Jun,Fri,4,56.39,United States,0.19,paypall,28.37,Apparel,UPS,Rome,41,27.19
USB Cable,2022,Q2,Jun,Tue,5,80.61,Portugal,0.41,paypall,26.77,Furniture,Royal Mail,Paris,38,25.64
Backpack,2020,Q3,Sep,Sun,2,8.27,Spain,0.02,Credit Card,25.5,Electronics,Royal Mail,London,23,23.08
Headphones,2021,Q2,Jun,Tue,17,11.46,Italy,0.36,Credit Card,11.42,Furniture,Royal Mail,Amsterdam,44,30.54
Office Chair,2020,Q1,Jan,Wed,0,-79.17,Belgium,1.236046393,Bank Transfer,,Accessories,FedEx,,-12,-19.43
Wireless Mouse,2023,Q4,Oct,Fri,9,18.36,Portugal,0.41,Bank Transfer,20.22,Accessories,DHL,Berlin,11,21.99
Headphones,2024,Q2,Apr,Mon,20,48.63,United States,0.2,Bank Transfer,5.76,Apparel,Royal Mail,Amsterdam,35,24.19
Desk Lamp,2021,Q4,Oct,Mon,13,42.15,United Kingdom,0.06,Bank Transfer,14.14,Electronics,UPS,Amsterdam,3,23.14
Wall Clock,2023,Q4,Nov,Wed,17,64.72,Portugal,0.3,Credit Card,20.81,Electronics,UPS,Paris,23,26.53
T-shirt,2020,Q1,Mar,Sat,10,71.23,United States,0.46,Bank Transfer,23.76,Electronics,DHL,Amsterdam,13,22.05
Desk Lamp,2020,Q4,Nov,Fri,5,23.2,France,0.42,paypall,20.42,Apparel,FedEx,Amsterdam,16,24.77
Backpack,2022,Q3,Jul,Mon,11,52.06,Spain,0.21,Credit Card,28.56,Apparel,DHL,Berlin,34,26.56
White Mug,2024,Q4,Oct,Wed,4,1.86,Italy,0.49,Bank Transfer,10.26,Electronics,FedEx,Rome,22,25.92
Headphones,2022,Q1,Mar,Tue,18,37.17,Sweden,0.1,paypall,,Electronics,UPS,,-31,-26.55
Wall Clock,2020,Q1,Jan,Wed,7,7.42,United States,0.1,Bank Transfer,8.87,Electronics,DHL,Amsterdam,25,24.32
USB Cable,2023,Q3,Aug,Sat,17,13.07,Italy,0.33,paypall,26.47,Apparel,DHL,Berlin,25,22.11
Desk Lamp,2021,Q4,Dec,Fri,10,1.82,Italy,0.21,Bank Transfer,21.09,Stationery,FedEx,Amsterdam,4,22.54
Notebook,2023,Q1,Feb,Sun,19,33.56,United Kingdom,0.38,Bank Transfer,10.0,Stationery,Royal Mail,London,43,26.68
Wireless Mouse,2024,Q2,Apr,Sun,8,1.82,Italy,0.41,paypall,15.22,Apparel,UPS,London,27,28.71
White Mug,2023,Q4,Nov,Thu,8,58.25,Norway,0.05,Bank Transfer,16.12,Furniture,Royal Mail,Paris,29,26.19
Office Chair,2022,Q4,Dec,Fri,2,83.15,Sweden,0.08,paypall,29.5,Accessories,UPS,Berlin,11,23.02
White Mug,2024,Q1,Jan,Mon,4,42.2,Australia,0.49,Bank Transfer,27.96,Stationery,UPS,Rome,44,24.17
White Mug,2024,Q2,Apr,Mon,12,81.92,Netherlands,0.36,Bank Transfer,13.4,Furniture,DHL,Berlin,44,23.08
Backpack,2020,Q1,Jan,Wed,18,23.32,Spain,0.26,paypall,22.68,Apparel,UPS,Paris,41,27.26
Backpack,2021,Q3,Jul,Sat,1,63.88,United States,0.07,Bank Transfer,11.57,Accessories,FedEx,Berlin,45,24.52
Office Chair,2021,Q2,Apr,Wed,5,48.27,Belgium,0.44,Bank Transfer,10.89,Apparel,DHL,Paris,37,24.61
Office Chair,2023,Q3,Jul,Fri,9,26.66,France,0.02,paypall,21.68,Apparel,DHL,Amsterdam,10,23.03
Wireless Mouse,2024,Q1,Mar,Wed,0,17.16,Australia,0.37,Credit Card,8.31,Accessories,UPS,Paris,7,25.95
Notebook,2021,Q2,Apr,Wed,12,6.83,United Kingdom,0.26,paypall,17.48,Electronics,Royal Mail,London,1,23.61
Desk Lamp,2021,Q2,Apr,Fri,7,51.66,United States,0.23,Bank Transfer,24.86,Accessories,UPS,Amsterdam,4,24.94
Desk Lamp,2022,Q1,Feb,Sun,15,40.86,Sweden,0.15,Credit Card,18.5,Furniture,DHL,Amsterdam,24,22.82
Desk Lamp,2022,Q2,Jun,Thu,21,35.71,France,0.37,Credit Card,29.88,Furniture,Royal Mail,Berlin,10,25.15
T-shirt,2020,Q3,Sep,Wed,20,44.04,Netherlands,0.16,paypall,26.76,Furniture,Royal Mail,Amsterdam,4,29.37
Wall Clock,2024,Q2,Apr,Thu,19,64.19,Norway,0.07,paypall,11.62,Electronics,DHL,Amsterdam,20,25.42
Wall Clock,2021,Q2,Jun,Sun,14,22.19,Belgium,0.33,Bank Transfer,21.19,Apparel,FedEx,Rome,39,28.56
White Mug,2021,Q1,Mar,Sun,8,72.04,United Kingdom,0.11,paypall,14.67,Apparel,FedEx,Paris,10,24.93
USB Cable,2021,Q2,Jun,Wed,0,8.48,France,0.35,Credit Card,5.95,Stationery,FedEx,London,17,26.43
T-shirt,2022,Q3,Aug,Wed,16,6.17,Norway,0.09,Bank Transfer,15.23,Stationery,FedEx,Amsterdam,26,27.14
White Mug,2020,Q2,Apr,Tue,18,33.7,Germany,0.26,Credit Card,18.97,Electronics,DHL,Berlin,28,25.85
Blue Pen,2020,Q3,Jul,Wed,16,35.39,France,0.01,Bank Transfer,13.03,Accessories,DHL,,29,24.29
Wireless Mouse,2022,Q1,Feb,Wed,8,38.86,Belgium,0.19,paypall,12.1,Electronics,Royal Mail,Rome,30,27.45
Headphones,2020,Q4,Nov,Wed,16,71.45,Norway,0.2,paypall,6.6,Stationery,Royal Mail,Paris,45,21.79
White Mug,2020,Q3,Aug,Fri,6,69.64,France,0.4,Bank Transfer,18.63,Stationery,UPS,Paris,26,24.07
USB Cable,2022,Q2,Jun,Wed,8,88.33,Portugal,0.05,paypall,27.95,Stationery,UPS,Rome,39,24.41
USB Cable,2020,Q1,Feb,Sat,14,19.75,Belgium,0.28,Bank Transfer,,Furniture,DHL,,-20,-28.98
USB Cable,2023,Q1,Jan,Sat,12,74.62,Spain,0.25,paypall,16.42,Furniture,DHL,London,24,23.56
Desk Lamp,2022,Q2,Apr,Fri,14,8.39,United States,0.39,paypall,14.83,Accessories,FedEx,London,19,23.6
T-shirt,2023,Q3,Aug,Fri,23,3.98,Australia,0.01,Bank Transfer,28.31,Apparel,UPS,Paris,38,24.96
Backpack,2021,Q1,Mar,Wed,10,93.52,Norway,0.18,paypall,5.1,Apparel,UPS,Paris,7,24.75
Notebook,2022,Q2,Apr,Wed,23,61.2,Australia,0.28,Credit Card,,Electronics,FedEx,,-4,-28.45
Wireless Mouse,2022,Q1,Mar,Fri,17,20.54,United Kingdom,0.44,Credit Card,27.47,Stationery,FedEx,Paris,18,26.58
T-shirt,2023,Q2,Apr,Wed,16,33.71,Spain,0.18,Bank Transfer,8.36,Stationery,Royal Mail,Berlin,22,25.36
Wall Clock,2020,Q1,Jan,Mon,0,42.27,Sweden,0.08,Credit Card,20.39,Apparel,Royal Mail,Paris,10,19.87
USB Cable,2021,Q1,Mar,Tue,7,-81.66,Norway,0.22,paypall,,Furniture,DHL,,-13,-27.86
Office Chair,2024,Q3,Sep,Fri,10,37.63,Portugal,0.49,Bank Transfer,11.92,Furniture,Royal Mail,Rome,33,26.15
Blue Pen,2021,Q1,Jan,Sun,21,89.82,Germany,0.19,Bank Transfer,,Apparel,UPS,,-13,-25.51
Backpack,2024,Q2,May,Fri,6,88.77,United States,0.15,Bank Transfer,28.3,Accessories,FedEx,Paris,37,26.04
Backpack,2023,Q3,Jul,Fri,13,-41.71,United States,1.954021722,Bank Transfer,,Accessories,UPS,,-29,-24.36
USB Cable,2024,Q4,Oct,Sat,14,98.45,Spain,0.34,paypall,12.22,Furniture,Royal Mail,London,20,26.52
Wall Clock,2020,Q2,Jun,Fri,14,51.59,Australia,0.29,Credit Card,,Apparel,Royal Mail,,-36,-27.39
Desk Lamp,2021,Q2,May,Sun,8,94.2,Spain,0.43,Bank Transfer,19.37,Stationery,UPS,Rome,46,23.87
USB Cable,2023,Q2,Apr,Thu,17,15.2,Australia,0.32,paypall,9.17,Electronics,UPS,London,38,23.47
Wall Clock,2020,Q2,Apr,Fri,4,62.02,United States,0.2,paypall,19.81,Accessories,UPS,Berlin,23,23.53
Backpack,2020,Q1,Feb,Sun,17,93.62,Spain,0.07,paypall,,Electronics,DHL,,-6,-18.38
USB Cable,2022,Q3,Sep,Sat,20,69.49,United States,0.29,Credit Card,19.39,Electronics,Royal Mail,Berlin,45,23.42
White Mug,2021,Q1,Mar,Thu,7,60.49,Netherlands,0.3,Bank Transfer,26.72,Furniture,DHL,Rome,2,26.38
Wireless Mouse,2023,Q1,Jan,Sat,1,94.11,Norway,0.09,paypall,8.06,Accessories,FedEx,Paris,16,21.05
Office Chair,2024,Q3,Aug,Fri,20,31.77,Germany,0.3,Bank Transfer,16.18,Accessories,UPS,Paris,4,25.27
White Mug,2024,Q3,Jul,Mon,23,50.72,Netherlands,0.37,paypall,27.94,Furniture,DHL,Amsterdam,20,23.41
Office Chair,2022,Q3,Jul,Sat,23,69.48,Belgium,0.28,Credit Card,13.45,Stationery,Royal Mail,London,34,24.92
White Mug,2022,Q2,Jun,Fri,19,45.7,Norway,0.35,paypall,19.08,Stationery,UPS,London,18,24.55
Blue Pen,2023,Q2,May,Mon,23,34.77,United States,0.37,paypall,18.85,Stationery,FedEx,Amsterdam,6,24.99
White Mug,2021,Q1,Jan,Fri,23,36.67,United States,0.13,paypall,20.0,Apparel,FedEx,Paris,46,24.24
Notebook,2022,Q3,Jul,Fri,11,34.49,Italy,0.21,paypall,20.08,Stationery,UPS,Amsterdam,3,23.92
Wireless Mouse,2024,Q4,Oct,Wed,0,36.62,Portugal,0.37,paypall,8.65,Apparel,UPS,Rome,23,25.25
T-shirt,2024,Q1,Feb,Sun,5,12.11,United States,0.19,Credit Card,17.4,Stationery,FedEx,London,21,23.13
USB Cable,2023,Q2,Jun,Fri,2,10.23,Norway,0.41,Credit Card,14.59,Electronics,UPS,Rome,11,28.59
Backpack,2023,Q4,Dec,Mon,2,64.85,Spain,0.49,paypall,27.92,Apparel,DHL,Rome,17,21.93
Blue Pen,2023,Q3,Sep,Sun,10,3.16,Norway,0.3,Credit Card,24.86,Stationery,Royal Mail,Amsterdam,20,26.83
Desk Lamp,2022,Q4,Oct,Fri,3,47.21,France,0.24,paypall,29.97,Stationery,FedEx,Paris,14,24.34
Notebook,2023,Q2,Apr,Sun,14,15.48,Belgium,0.2,Bank Transfer,16.04,Furniture,UPS,Rome,8,22.15
Desk Lamp,2023,Q2,Apr,Sun,23,73.35,Norway,0.16,Bank Transfer,25.02,Apparel,FedEx,Paris,18,25.88
USB Cable,2022,Q3,Sep,Thu,7,74.89,United States,0.37,paypall,15.9,Electronics,Royal Mail,Amsterdam,1,24.08
Office Chair,2022,Q1,Mar,Sat,20,81.56,Spain,0.3,Bank Transfer,10.63,Stationery,DHL,Berlin,5,25.99
Wall Clock,2022,Q3,Aug,Thu,10,82.12,Norway,0.01,paypall,13.21,Accessories,UPS,Berlin,39,26.94
Wireless Mouse,2020,Q2,Apr,Tue,20,93.89,Norway,0.49,paypall,19.72,Accessories,UPS,London,6,23.96
Office Chair,2023,Q4,Nov,Mon,19,23.96,Spain,0.21,Bank Transfer,7.51,Apparel,FedEx,Berlin,14,23.04
Blue Pen,2023,Q4,Dec,Mon,11,81.08,Spain,0.01,Bank Transfer,12.87,Stationery,UPS,Berlin,47,24.65
Backpack,2022,Q2,Jun,Sat,5,61.98,Italy,0.02,paypall,24.5,Accessories,UPS,Paris,42,20.9
Backpack,2022,Q2,Jun,Wed,3,89.96,Spain,0.3,Bank Transfer,5.03,Accessories,Royal Mail,Amsterdam,29,23.73
Wireless Mouse,2024,Q1,Mar,Mon,6,-20.61,Italy,1.751590957,Bank Transfer,,Accessories,Royal Mail,,-26,-32.9
Blue Pen,2022,Q1,Feb,Mon,2,88.47,Norway,0.0,Credit Card,29.55,Stationery,FedEx,Amsterdam,47,26.06
T-shirt,2022,Q1,Mar,Sat,2,14.78,Italy,0.05,Credit Card,18.34,Accessories,UPS,Berlin,45,25.37
Blue Pen,2023,Q1,Feb,Mon,2,89.86,Sweden,0.45,Credit Card,9.51,Stationery,UPS,Rome,6,29.15
T-shirt,2022,Q1,Mar,Wed,4,39.77,Portugal,0.02,paypall,,Furniture,DHL,,-3,-28.4
Notebook,2022,Q4,Dec,Sun,3,38.65,United States,0.22,Credit Card,9.24,Furniture,DHL,Amsterdam,7,22.23
T-shirt,2021,Q3,Jul,Thu,2,16.68,United States,0.21,paypall,29.62,Stationery,FedEx,Berlin,14,25.2
Wireless Mouse,2023,Q2,May,Mon,12,95.32,Norway,0.38,Credit Card,9.31,Furniture,Royal Mail,Berlin,49,24.97
Blue Pen,2020,Q1,Mar,Tue,2,2.36,Spain,0.35,Credit Card,12.54,Stationery,DHL,Berlin,22,24.62
Backpack,2022,Q3,Aug,Sun,17,2.64,France,0.47,Credit Card,14.04,Stationery,Royal Mail,Amsterdam,42,30.37
Wireless Mouse,2021,Q2,May,Thu,2,73.14,Sweden,0.39,Bank Transfer,21.78,Stationery,Royal Mail,London,25,23.94
